addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"пл. Восстания, д. 6, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,55.084755,38.803178,,,74955321300,,121,,,,https://www.pochtabank.ru/
"Суздальский пр-т, д. 15, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,56.168792,40.462537,,,74955321300,,124,,,,https://www.pochtabank.ru/
"ул. Ленинградская, д. 42, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,53.187547,50.091834,,,74955321300,,126,,,,https://www.pochtabank.ru/
"ул. Мичурина, д. 50, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,53.20193,50.135551,,,74955321300,,127,,,,https://www.pochtabank.ru/
"ул. Победы, д. 75, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,53.206062,50.234554,,,74955321300,,128,,,,https://www.pochtabank.ru/
"ул. Победы, д. 111, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,53.218325,50.261378,,,74955321300,,129,,,,https://www.pochtabank.ru/
"ул. Заводская, д. 18, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,59.786084,30.626308,,,74955321300,,130,,,,https://www.pochtabank.ru/
"ул. Победы, д. 98, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,53.215354,50.253248,,,74955321300,,131,,,,https://www.pochtabank.ru/
"ул. Гагарина, д. 95, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,52.392923,50.472518,,,74955321300,,132,,,,https://www.pochtabank.ru/
"ул. Ленина, д. 61, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,53.164183,48.675133,,,74955321300,,133,,,,https://www.pochtabank.ru/
"ул. Антонова-Овсеенко, д. 2, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,53.213024,50.191211,,,74955321300,,134,,,,https://www.pochtabank.ru/
"ул. 60 лет Октября, д. 21, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_atm_dac'},,54.20343,50.463606,,,74955321300,,135,,,,https://www.pochtabank.ru/
