addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"УЛ. МЯСНИЦКАЯ Д.26, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.763944,37.637281,,,74955321300,,101000,,,,https://www.pochtabank.ru/
"ПЛ. ИЗМАЙЛОВСКАЯ Д.11, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.794381,37.774796,,,74955321300,,105037,,,,https://www.pochtabank.ru/
"УЛ. 6-Я ПАРКОВАЯ Д.13, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.790823,37.79004,,,74955321300,,105043,,,,https://www.pochtabank.ru/
"УЛ. ЗЕМЛЯНОЙ ВАЛ Д.2, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.763214,37.656173,,,74955321300,,105064,,,,https://www.pochtabank.ru/
"ул Красносельская Нижн., д. 43, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.773768,37.675011,,,74955321300,,105066,,,,https://www.pochtabank.ru/
"ул Парковая 6-я, д. 20/53, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.793485,37.791181,,,74955321300,,105077,,,,https://www.pochtabank.ru/
"ул Красноказарменная, д. 9, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.758139,37.697738,,,74955321300,,105082,,,,https://www.pochtabank.ru/
"ул Госпитальный Вал, д. 5, корп. 18, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.774786,37.704987,,,74955321300,,105094,,,,https://www.pochtabank.ru/
"ПР-КТ. БУДЁННОГО Д.30/8, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.76211,37.734704,,,74955321300,,105118,,,,https://www.pochtabank.ru/
"ул Сергия Радонежского, д. 4, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.74639,37.67263,,,74955321300,,105120,,,,https://www.pochtabank.ru/
"Ш. ЩЁЛКОВСКОЕ Д.10, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.804309,37.762192,,,74955321300,,105122,,,,https://www.pochtabank.ru/
"УЛ. 9 МАЯ Д.7, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.817168,37.865444,,,74955321300,,105173,,,,https://www.pochtabank.ru/
"УЛ. ЩЕРБАКОВСКАЯ Д.58А, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.782101,37.742205,,,74955321300,,105187,,,,https://www.pochtabank.ru/
"УЛ. 14-Я ПАРКОВАЯ Д.4, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.789942,37.815327,,,74955321300,,105203,,,,https://www.pochtabank.ru/
"Ш. ЩЁЛКОВСКОЕ Д.48А, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.809712,37.793849,,,74955321300,,105215,,,,https://www.pochtabank.ru/
"ул Парковая 7-я, д. 21, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.800362,37.793346,,,74955321300,,105264,,,,https://www.pochtabank.ru/
"УЛ. СОКОЛИНОЙ ГОРЫ 5-Я Д.25, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.765979,37.741603,,,74955321300,,105275,,,,https://www.pochtabank.ru/
"УЛ. ЩЕРБАКОВСКАЯ Д.35, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.782871,37.729619,,,74955321300,,105318,,,,https://www.pochtabank.ru/
"Б-Р. СИРЕНЕВЫЙ Д.15А, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.803155,37.7858,,,74955321300,,105425,,,,https://www.pochtabank.ru/
"Ш. ЩЁЛКОВСКОЕ Д.84, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.810875,37.818517,,,74955321300,,105523,,,,https://www.pochtabank.ru/
"ул Первомайская Нижн., д. 29, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.79137,37.802518,,,74955321300,,105554,,,,https://www.pochtabank.ru/
"ул Челябинская, д. 7А, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.777287,37.826197,,,74955321300,,105568,,,,https://www.pochtabank.ru/
"ул Барболина, д. 4, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.787133,37.686877,,,74955321300,,107014,,,,https://www.pochtabank.ru/
"ул Суворовская, д. 2/1, корп. 1, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.788555,37.710099,,,74955321300,,107023,,,,https://www.pochtabank.ru/
"пер Варсонофьевский, д. 4, стр. 1, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.763245,37.624822,,,74955321300,,107031,,,,https://www.pochtabank.ru/
"б-р Сретенский, д. 5, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.766866,37.633526,,,74955321300,,107045,,,,https://www.pochtabank.ru/
"УЛ. ЧЕРКИЗОВСКАЯ Б. Д.2, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.795185,37.715866,,,74955321300,,107061,,,,https://www.pochtabank.ru/
"УЛ. УССУРИЙСКАЯ Д.11, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.824784,37.820628,,,74955321300,,107065,,,,https://www.pochtabank.ru/
"ул Богородский Вал, д. 6, корп. 1, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.802427,37.704502,,,74955321300,,107076,,,,https://www.pochtabank.ru/
"УЛ. НОВАЯ БАСМАННАЯ Д.15, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.769935,37.658661,,,74955321300,,107078,,,,https://www.pochtabank.ru/
"УЛ. СОКОЛЬНИЧЕСКИЙ ВАЛ Д.24, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.790813,37.664734,,,74955321300,,107113,,,,https://www.pochtabank.ru/
"УЛ. КРАСНОПРУДНАЯ Д.7/9, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.778887,37.661419,,,74955321300,,107140,,,,https://www.pochtabank.ru/
"проезд 4-й Подбельского, д. 4, корп. 7, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.819368,37.725415,,,74955321300,,107143,,,,https://www.pochtabank.ru/
"проезд 4-й Подбельского, д. 4, корп. 7, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.819368,37.725415,,,74955321300,,107150,,,,https://www.pochtabank.ru/
"УЛ. УРАЛЬСКАЯ Д.11, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.817588,37.797442,,,74955321300,,107199,,,,https://www.pochtabank.ru/
"ул Уральская, д. 11, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.817588,37.797442,,,74955321300,,107207,,,,https://www.pochtabank.ru/
"УЛ. УРАЛЬСКАЯ Д.1, Россия",Pochta Bank,,,Россия,pr@pochtabank.ru,{'@spider': 'pochtabank_offices_dac'},,55.811634,37.797729,,,74955321300,,107241,,,,https://www.pochtabank.ru/
